abandon	放棄する・見捨てる	v	standard
abolish	廃止する	v	standard
abundant	豊富な	adj	standard
accelerate	加速する	v	standard
access	利用する・接近する	v	standard
accommodate	収容する・対応する	v	standard
accompany	伴う・付き添う	v	standard
accomplish	成し遂げる	v	standard
accurate	正確な	adj	standard
acknowledge	認める・感謝する	v	standard
acquire	獲得する	v	standard
adapt	適応する・改変する	v	standard
adequate	十分な・適切な	adj	standard
advocate	主張する・支持する	v	standard
allocate	割り当てる	v	developed
alter	変える	v	standard
ambiguous	曖昧な	adj	developed
anticipate	予想する	v	developed
apparent	明らかな・見かけの	adj	standard
appreciate	感謝する・理解する	v	standard
arbitrary	任意の・勝手な	adj	developed
assemble	組み立てる・集める	v	standard
assess	評価する	v	standard
assign	割り当てる	v	standard
assure	保証する・安心させる	v	standard
attain	達成する	v	developed
automate	自動化する	v	developed
cease	やめる・終わる	v	developed
clarify	明確にする	v	standard
coherent	首尾一貫した	adj	advanced
coincide	一致する・同時に起こる	v	developed
collaborate	協力する	v	standard
commence	開始する	v	developed
compel	強いる	v	developed
comprehensive	包括的な	adj	advanced
conceive	考えつく	v	advanced
concede	認める・譲歩する	v	advanced
confer	相談する・授与する	v	advanced
confine	限定する	v	developed
conform	従う・一致する	v	advanced
consecutive	連続した	adj	developed
consent	同意する・同意	v	noun	advanced
considerable	かなりの	adj	standard
constitute	構成する	v	advanced
constrain	制約する	v	advanced
consult	相談する	v	standard
contemplate	熟考する	v	advanced
contradict	矛盾する	v	developed
controversial	論争を呼ぶ	adj	standard
convey	伝える・運ぶ	v	developed
coordinate	調整する・調和させる	v	developed
correspond	一致する・通信する	v	developed
crucial	極めて重要な	adj	standard
deduce	推論する	v	advanced
depict	描く・描写する	v	developed
derive	由来する・導き出す	v	developed
diminish	減少する・減らす	v	developed
discrete	個別の	adj	hard
discriminate	差別する・区別する	v	advanced
dispose	処分する	v	developed
distinct	明確に異なる	adj	standard
diverse	多様な	adj	standard
dominate	支配する	v	standard
efficient	効率的な	adj	standard
elaborate	精巧な・詳しく述べる	adj	developed
eliminate	排除する	v	standard
empirical	経験的な	adj	advanced
enhance	高める	v	standard
enormous	巨大な	adj	standard
equivalent	同等の	adj	developed
evoke	呼び起こす	v	advanced
exclude	除外する	v	standard
explicit	明白な・明示的な	adj	developed
exploit	利用する・搾取する	v	advanced
facilitate	容易にする	v	developed
feasible	実行可能な	adj	advanced
fluctuate	変動する	v	developed
formulate	策定する・定式化する	v	advanced
foster	育成する・促進する	v	developed
fulfill	果たす	v	standard
generate	生み出す	v	standard
genuine	本物の・純粋な	adj	standard
grant	許可する・与える	v	standard
highlight	強調する	v	standard
hinder	妨げる	v	developed
hypothesis	仮説	n	advanced
illustrate	説明する・例示する	v	standard
implement	実施する	v	developed
implicit	暗黙の	adj	advanced
induce	引き起こす・誘導する	v	advanced
inevitable	避けられない	adj	developed
infer	推論する	v	developed
inhibit	抑制する	v	advanced
integral	不可欠な・積分の	adj	advanced
integrate	統合する	v	developed
intense	強烈な	adj	standard
intervene	介入する	v	advanced
isolate	孤立させる・分離する	v	standard
likewise	同様に	adv	standard
magnitude	大きさ		n	hard
mature	成熟した・成熟する	adj	standard
mediate	仲介する	v	advanced
modify	修正する	v	standard
nevertheless	それにもかかわらず	adv	developed
notion	概念・考え		n	developed
obscure	不明瞭な・隠す	adj	advanced
persist	持続する	v	developed
plausible	もっともらしい	adj	advanced
precise	正確な	adj	standard
predominant	支配的な	adj	advanced
preliminary	予備の	adj	advanced
presume	推定する	v	advanced
profound	深い・重大な	adj	advanced
prohibit	禁止する	v	developed
prominent	著名な・目立つ	adj	developed
proportion	割合		n	standard
pursue	追求する	v	standard
radical	根本的な・急進的な	adj	advanced
rational	合理的な	adj	developed
refine	洗練する・改良する	v	advanced
reluctant	気が進まない	adj	developed
relevant	関連性のある	adj	standard
reside	住む	v	advanced
resolve	解決する・決意する	v	standard
retain	保持する	v	developed
reveal	明らかにする	v	standard
rigid	硬直した	adj	advanced
subsequent	その後の	adj	advanced
substitute	代わりにする・代用品	v	standard
sufficient	十分な	adj	standard
suspend	一時停止する	v	developed
sustain	維持する	v	developed
terminate	終える	v	advanced
transform	変える	v	standard
trigger	引き起こす	v	standard
undergo	経験する・受ける	v	developed
underlying	根底にある	adj	advanced
unify	統一する	v	advanced
utilize	利用する	v	developed
valid	妥当な・有効な	adj	standard
viable	実行可能な	adj	advanced
virtually	ほとんど・実質的に	adv	standard
whereas	～である一方	conj	developed
withstand	耐える	v	advanced
widespread	広範囲に及ぶ	adj	standard
acquisition	獲得・取得		n	developed
adaptation	適応・改作		n	developed
administrative	行政上の	adj	advanced
admission	入場・入学		n	standard
advocate	擁護者・支持する	v	developed
agricultural	農業の	adj	standard
alternative	代替の・代替物	adj	standard
ambition	野心・願望		n	standard
amend	修正する	v	advanced
applicable	適用できる	adj	advanced
appointment	予約・任命		n	standard
architecture	建築		n	standard
archive	記録保管所・保存する		n	developed
arise	生じる	v	developed
artificial	人工的な	adj	standard
assumption	仮定・当然の考え		n	developed
attachment	付属品・愛着		n	standard
autonomous	自律的な	adj	hard
bias	偏見・偏り		n	standard
capacity	能力・容量		n	standard
category	分類・範疇		n	standard
coincidence	偶然の一致		n	standard
commodity	商品・日用品		n	advanced
compensation	補償		n	advanced
competence	能力		n	developed
complexity	複雑さ		n	developed
component	構成要素		n	standard
concentration	集中・濃度		n	standard
conclusion	結論		n	standard
conflict	対立・衝突		n	standard
consequence	結果・影響		n	standard
conservation	保存・保全		n	developed
consumption	消費		n	standard
convention	慣習・大会		n	developed
cooperation	協力		n	standard
criterion	基準		n	advanced
deficiency	不足		n	advanced
departure	出発・離脱		n	standard
distribution	分配・流通		n	developed
dynamic	動的な	adj	developed
ecology	生態学		n	advanced
edition	版・編集版		n	standard
emission	排出・放出		n	developed
enforcement	施行・強制		n	advanced
equation	方程式		n	standard
exception	例外		n	standard
exposure	曝露・露出		n	developed
framework	枠組み		n	developed
frequency	頻度・周波数		n	standard
fundamental	基本的な	adj	standard
guideline	指針		n	developed
ignorance	無知		n	advanced
incentive	動機・奨励策		n	advanced
incidence	発生率・出来事		n	advanced
innovation	革新		n	standard
inspection	検査		n	developed
institution	制度・機関		n	standard
interaction	相互作用		n	standard
interpretation	解釈		n	standard
interval	間隔		n	standard
investigation	調査・捜査		n	standard
legislation	法律・立法		n	advanced
liberal	自由主義の・寛大な	adj	advanced
mechanism	仕組み		n	developed
methodology	方法論		n	hard
motivation	動機		n	standard
obligation	義務		n	standard
orientation	方向づけ・方針		n	developed
parameter	パラメータ		n	hard
phenomenon	現象		n	standard
priority	優先事項		n	standard
procedure	手順		n	standard
publication	出版・刊行物		n	standard
regulation	規制		n	standard
restriction	制限		n	standard
scenario	筋書き・想定		n	developed
significance	重要性・意義		n	developed
substitute	代替物		n	standard
technique	技術・手法		n	standard
tendency	傾向		n	standard
territory	領土・領域		n	standard
tradition	伝統		n	standard
transmission	伝達・送信		n	developed
variation	変化・変異		n	standard
