accidental	偶然の・意図しない	adj	standard
accommodate	収容する・対応する	v	standard
accomplishment	達成・業績	n	standard
accordingly	それに応じて・したがって	adv	standard
accumulate	蓄積する	v	standard
accurately	正確に	adv	standard
acknowledge	認める・認識する	v	standard
adaptation	適応・改作	n	standard
adequately	十分に・適切に	adv	standard
adjacent	隣接した	adj	standard
adjustment	調整・修正	n	standard
administrative	行政上の・管理上の	adj	standard
advocate	支持する・擁護する	v	standard
agricultural	農業の	adj	standard
allocate	割り当てる	v	standard
alteration	変更・改変	n	standard
ambiguous	曖昧な	adj	standard
amendment	修正・改正	n	standard
analogy	類推・類似	n	standard
analytical	分析的な	adj	standard
anticipation	予想・期待	n	standard
applicable	適用できる	adj	standard
arbitrary	恣意的な・任意の	adj	advanced
articulate	明確に表現する	v	advanced
assert	主張する	v	standard
assertion	主張・断言	n	standard
assessment	評価・査定	n	standard
assumption	仮定・思い込み	n	standard
attainable	達成可能な	adj	advanced
authentic	本物の・真正な	adj	standard
beneficial	有益な	adj	standard
coherent	首尾一貫した	adj	advanced
coincidence	偶然の一致	n	standard
collaborative	協力的な	adj	advanced
compelling	説得力のある	adj	advanced
comprehensive	包括的な	adj	advanced
conceivably	考えられる範囲では	adv	advanced
consecutive	連続した	adj	standard
considerably	かなり・相当に	adv	standard
consistent	首尾一貫した	adj	standard
constitute	構成する	v	advanced
constraint	制約	n	advanced
controversial	議論の分かれる	adj	advanced
controversy	論争	n	advanced
convey	伝える	v	standard
correspond	一致する・文通する	v	advanced
counterpart	対応するもの・相当するもの	n	advanced
credible	信頼できる	adj	advanced
criterion	基準	n	advanced
decline	減少する・断る	v	standard
degrade	低下させる・劣化する	v	advanced
deliberate	意図的な・熟考する	adj	advanced
demographic	人口統計の	adj	advanced
depict	描写する	v	advanced
devise	考案する	v	advanced
diminish	減少する・弱まる	v	advanced
discrete	個別の・離散的な	adj	hard
discrimination	差別・識別	n	advanced
displacement	置き換え・移動	n	advanced
distinctive	特徴的な	adj	advanced
diverse	多様な	adj	standard
dominant	支配的な	adj	advanced
dramatically	劇的に	adv	standard
durability	耐久性	n	advanced
efficiently	効率的に	adv	standard
elevate	高める	v	advanced	emission	排出・発行	n	advanced
empirical	経験的な	adj	hard
encompass	包含する	v	advanced
encounter	遭遇する・出会う	v	standard
enhance	高める・向上させる	v	standard
ensure	確実にする	v	standard
equivalent	同等の・同等物	adj	advanced
erode	侵食する・むしばむ	v	hard
essentially	本質的に	adv	standard
ethical	倫理的な	adj	advanced
evaluation	評価	n	standard
evoked	呼び起こした	adj	advanced
explicitly	明確に・露骨に	adv	advanced
exploit	利用する・搾取する	v	advanced
facilitate	促進する・容易にする	v	advanced
feasible	実行可能な	adj	advanced
fluctuate	変動する	v	advanced
formulate	公式化する・策定する	v	hard
forthcoming	差し迫った・まもなく出る	adj	hard
framework	枠組み	n	standard
fundamental	基本的な	adj	standard
generate	生み出す	v	standard
genuine	本物の・心からの	adj	standard
hierarchy	階層	n	advanced
hypothesis	仮説	n	advanced
identical	同一の	adj	standard
implement	実行する	v	advanced
implication	含意・影響	n	advanced
incentive	動機・奨励金	n	advanced
incidence	発生率・出来事	n	advanced
incorporate	取り入れる・組み込む	v	advanced
indispensable	不可欠な	adj	hard
inevitable	避けられない	adj	advanced
infer	推測する・推論する	v	advanced
inhibit	抑制する	v	hard
innovative	革新的な	adj	advanced
insight	洞察	n	advanced
integral	不可欠な・積分の	adj	hard
integrity	完全性・誠実さ	n	hard
intermediate	中間の・中間段階	n	standard
interpretation	解釈	n	standard
intervene	介入する	v	advanced
intrinsic	本質的な	adj	hard
isolate	孤立させる・分離する	v	standard
legitimate	正当な・合法の	adj	advanced
likewise	同様に	adv	standard
magnitude	大きさ・規模	n	advanced
manipulate	巧みに操作する・操る	v	hard
maximize	最大化する	v	advanced
mere	単なる	adj	standard
minimize	最小化する	v	advanced
moderately	適度に	adv	standard
nevertheless	それにもかかわらず	adv	standard
notably	注目すべきことに	adv	advanced
objective	客観的な・目的	adj	standard
obligation	義務	n	standard
obscure	曖昧な・世に知られていない	adj	hard
obtainable	入手可能な	adj	advanced
paradox	逆説	an	hard
parameter	パラメータ・範囲を決める要因	n	hard
perceive	知覚する・認識する	v	standard
persistent	持続する	adj	advanced
perspective	観点・見方	n	standard
plausible	もっともらしい	adj	advanced
precede	先行する	v	advanced
predominant	圧倒的に優勢な	adj	hard
preliminary	予備的な	adj	advanced
presumably	おそらく	adv	advanced
prioritize	優先順位をつける	v	advanced
profound	深い・重大な	adj	hard
proportionate	比例した	adj	hard
prospective	将来の・見込みの	adj	advanced
quantitative	量的な	adj	advanced
radical	根本的な・急進的な	adj	advanced
rational	合理的な	adj	advanced
refine	改良する・精製する	v	advanced
reinforce	強化する	v	advanced
reluctant	気が進まない	adj	standard
respectively	それぞれ	adv	standard
restore	回復させる	v	standard
retain	保持する	v	advanced
rigid	硬直した・厳格な	adj	advanced
simulate	模擬する	v	advanced
simultaneously	同時に	adv	advanced
sophisticated	洗練された・高度な	adj	advanced
subsequent	その後の	adj	advanced
substantially	かなり・大幅に	adv	advanced
substitute	代用する・代用品	v	standard
sufficiently	十分に	adv	standard
sustain	維持する・支える	v	advanced
tentative	暫定的な・仮の	adj	advanced
thereby	それによって	adv	hard
threshold	しきい値・境界	n	hard
transformation	変化・変革	n	advanced
undergo	経験する・受ける	v	advanced
undermine	弱体化させる	v	hard
unprecedented	前例のない	adj	hard
utilization	利用・活用	n	advanced
validity	妥当性・有効性	n	advanced
versatile	多用途の・万能な	adj	advanced
virtually	事実上	adv	standard
vulnerable	傷つきやすい・脆弱な	adj	advanced
whereby	それによって	conj	hard
widespread	広範囲にわたる	adj	standard
withdrawal	撤退・引き出し	n	advanced
yield	生み出す・譲る	v	advanced
abnormal	異常な	adj	standard
absorb	吸収する	v	standard
accelerated	加速された	adj	standard
accessible	利用しやすい・接近可能な	adj	standard
accusation	非難・告発	n	advanced
adequacy	十分さ・適切さ	n	advanced
adhere	固く守る・付着する	v	advanced
adverse	不利な・逆の	adj	advanced
aesthetic	美的な	adj	hard
aggregate	総計・集計する	v	advanced
albeit	～ではあるが	conj	hard
alert	警戒している・警告する	adj	standard
alienate	疎外する	v	hard
alleviate	軽減する	v	hard
amplify	増幅する	v	advanced
analogy	類推	 n	standard
appraisal	評価・査定	n	advanced
arise	生じる	v	standard
artifact	人工物・工芸品	n	advanced
assertive	断定的な	adj	advanced
assign	割り当てる	v	standard
attainment	達成・到達	n	advanced
authenticity	真正性・信頼性	n	hard
bias	偏見・偏り	n	standard
boundary	境界	 n	standard
bulk	大部分・かさ	n	standard
cease	やめる・終わる	v	advanced
clarify	明確にする	v	standard
coherent	首尾一貫した	adj	advanced
commence	開始する	v	advanced
comply	従う	v	advanced
comparable	比較可能な	adj	advanced
competence	能力・力量	n	advanced
complement	補完する・補完物	v	advanced
complexity	複雑さ	n	advanced
conceive	考えつく・妊娠する	v	hard
concurrent	同時に起こる	adj	hard
confine	制限する	v	advanced
conform	従う・一致する	v	advanced
consequently	その結果として	adv	standard
consideration	考慮	n	standard
constrain	制約する	v	advanced
consult	相談する・参照する	v	standard
contemporary	現代の・同時代の	adj	advanced
contradiction	矛盾	n	advanced
contrary	反対の・反して	adj	advanced
controversy	論争	n	advanced
conventional	従来の・慣習的な	adj	standard
convert	変換する	v	standard
conviction	確信・有罪判決	n	advanced
cooperate	協力する	v	standard
correlation	相関	n	advanced
cultivate	耕す・育てる	v	advanced
cumulative	累積的な	adj	advanced
deduce	差し引く・推論する	v	hard
deliberately	故意に	adv	advanced
delineate	輪郭を描く・明確に示す	v	hard
dependency	依存・依存関係	n	advanced
deviation	逸脱・偏差	n	hard
disclose	明らかにする	v	hard
discrete	個別の	adj	hard
disrupt	混乱させる・中断する	v	advanced
distinction	区別・卓越	n	advanced
diverse	多様な	adj	standard
documentation	文書・資料	n	advanced
domestic	国内の・家庭の	adj	standard
