acclaim	称賛する・称賛	n	advanced
accustom	慣れさせる	v	advanced
accompany	伴う	v	standard
accomplish	成し遂げる	v	standard
accord	一致・協定	n	advanced
accountable	責任を負うべき	adj	hard
accuse	非難する・告発する	v	standard
acquaint	知らせる・精通させる	v	advanced
acquire	獲得する	v	standard
acquisition	獲得・習得	n	standard
acute	鋭い・深刻な	adj	advanced
adaptable	適応できる	adj	advanced
addiction	依存症・中毒	n	advanced
adequate	十分な・適切な	adj	standard
adjacent	隣接した	adj	standard
admission	入場・入学・承認	n	standard
adolescent	青年期の・青年	n	advanced
adverse	逆の・不利な	adj	advanced
advocate	擁護する・支持者	v	advanced
affordable	手頃な	adj	standard
afterward	その後	adv	standard
aggravate	悪化させる	v	hard
aggregate	総計・集計する	v	advanced
aggressive	攻撃的な・積極的な	adj	standard
agriculture	農業	n	standard
alertness	警戒心	n	advanced
alongside	～のそばに	prep	standard
alter	変える	v	standard
alternative	代替の・代案	adj	standard
amateur	素人・素人の	n	advanced
ambition	野心・大志	n	standard
amend	修正する	v	advanced
amid	～の真ん中に	prep	advanced
ancestor	祖先	n	standard
animation	動画・アニメーション	n	standard
anniversary	記念日・周年記念	n	standard
anonymous	匿名の	adj	advanced
anticipate	予想する	v	standard
appeal	訴える・魅力	v	standard
appetite	食欲	 n	standard
applause	拍手	 n	standard
appoint	任命する	v	standard
appreciate	感謝する・正しく理解する	v	standard
approximate	近似の・近似する	adj	standard
arouse	引き起こす・目覚めさせる	v	advanced
array	配列・一式	 n	advanced
assemble	組み立てる・集める	v	standard
assign	割り当てる	v	standard
assure	保証する・安心させる	v	standard
astonish	驚かせる	v	standard
attain	達成する	v	advanced
auction	競売・競売にかける	 n	advanced
authorize	認可する	v	advanced
autonomous	自律的な	adj	hard
awareness	意識・認識	 n	standard
awkward	気まずい・扱いにくい	adj	standard
bargain	掘り出し物・交渉する	 n	standard
barrier	障壁	 n	standard
behalf	代表して	 n	standard
beneficial	有益な	adj	standard
betray	裏切る	v	advanced
beware	用心する	v	standard
biological	生物学的な	adj	standard
blend	混ぜる・混合	v	standard
bless	祝福する	v	advanced
boast	自慢する・自慢	v	standard
bold	大胆な・太字の	adj	standard
boost	押し上げる・増加	v	standard
boundary	境界	 n	standard
breach	違反・破る	 n	advanced
broaden	広げる	v	standard
browser	ブラウザ・閲覧ソフト	n	basic
bulk	大部分・かさ	 n	standard
burden	負担	 n	standard
bureaucracy	官僚制度	 n	hard
calculate	計算する	v	standard
candidate	候補者	 n	standard
capture	捕らえる・捕獲	v	standard
casualty	犠牲者・死傷者	 n	advanced
ceiling	天井・上限	 n	standard
certainty	確実性	 n	advanced
challenge	挑戦・異議を唱える	v	standard
characterize	特徴づける	v	advanced
circulate	循環する・配る	v	advanced
civilian	民間人・民間の	 n	advanced
clarify	明確にする	v	standard
classify	分類する	v	standard
clause	節・条項	 n	standard
cluster	集団・群	 n	standard
coexist	共存する	v	advanced
collapse	崩壊する	v	standard
commodity	商品・日用品	 n	advanced
communal	共同の	adj	advanced
compassion	思いやり	 n	advanced
