abolition	廃止・撤廃	n	developed
abundant	豊富な	adj	standard
accelerated	加速した・促進された	adj	standard
accumulation	蓄積	n	developed
acknowledgment	認識・謝辞	n	developed
adaptation	適応・改作	n	standard
additional	追加の	adj	standard
adjacent	隣接した	adj	developed
adolescent	青年期の・青年	n	standard
advocacy	擁護・支持	n	developed
aggregate	総計・集計する	n	advanced
aggression	攻撃性・侵略	n	developed
agricultural	農業の	adj	standard
alleviate	軽減する	v	advanced
ambition	野心・大志	n	standard
amend	修正する	v	advanced
amendment	修正・改正	n	advanced
analytical	分析的な	adj	developed
ancestor	祖先	n	standard
animation	動画・アニメーション	n	standard
anticipation	予想・期待	n	developed
apparatus	器具・装置	n	advanced
applicable	適用できる	adj	developed
apprehend	理解する・逮捕する	v	hard
arbitrary	恣意的な・任意の	adj	advanced
archive	記録保管所・保存する	n	developed
articulate	明瞭に表現する・明瞭な	v	advanced
aspiration	熱望・願望	n	developed
assemble	組み立てる・集める	v	developed
assertion	主張	n	developed
assignable	割り当て可能な	adj	hard
assumption	仮定・思い込み	n	developed
attainment	達成・到達	n	developed
authentic	本物の・真正な	adj	advanced
authorize	許可する	v	developed
autonomy	自律性	n	advanced
benchmark	基準・指標	n	advanced
bias	偏見・偏り	n	developed
bizarre	奇妙な	adj	advanced
blunt	鈍い・率直な	adj	advanced
boom	急成長・急増する	n	standard
breakthrough	大発見・突破口	n	developed
bureaucracy	官僚制度	n	advanced
capability	能力	n	standard
capacity	能力・収容力	n	standard
cease	やめる・停止する	v	advanced
clarify	明らかにする	v	standard
coherent	首尾一貫した	adj	advanced
coincide	一致する	v	advanced
collaborate	協力する	v	developed
compelling	説得力のある	adj	advanced
compensate	補償する・埋め合わせる	v	advanced
compliance	従うこと・順守	n	advanced
comprehensive	包括的な	adj	advanced
conceive	思いつく・考える	v	advanced
concession	譲歩	n	advanced
consecutive	連続した	adj	advanced
constitute	構成する	v	advanced
constraint	制約	n	advanced
consultation	相談・協議	n	developed
