abbreviate	省略する	v	standard
abbreviation	略語・省略	n	standard
accidental	偶然の	adj	standard
accompanying	付随する	adj	developed
accordingly	それに応じて	adv	advanced
accountable	説明責任のある	adj	advanced
accumulate	蓄積する	v	developed
accusation	非難・告発	n	developed
accuse	非難する	v	standard
acquaint	知らせる・習熟させる	v	advanced
acquisition	獲得・取得	n	developed
adequacy	十分さ・適切さ	n	advanced
administrative	行政上の・管理の	adj	advanced
administrator	管理者	n	advanced
admission	入場・入学・認めること	n	standard
admittedly	認めざるを得ないことに	adv	advanced
adoption	採用・養子縁組	n	developed
adverse	不利な	adj	advanced
advisable	望ましい	adj	advanced
aesthetic	美的な	adj	advanced
affordability	手頃な価格であること	n	advanced
agriculturally	農業的に	adv	hard
alert	警戒して・警告する	adj	developed
alignment	整列・一致	n	advanced
allegedly	申し立てによれば	adv	advanced
alliance	同盟・連携	n	developed
allocate	割り当てる	v	developed
alteration	変更・改変	n	advanced
alternative	代替の・代替案	adj	standard
ambassador	大使	n	developed
ambiguity	曖昧さ	n	advanced
amplification	増幅	n	hard
analogous	類似した	adj	advanced
analytically	分析的に	adv	advanced
analyze	分析する	v	standard
annually	毎年	adv	standard
anonymous	匿名の	adj	advanced
anticipate	予想する	v	developed
apparatus	装置・器具	n	advanced
appealing	魅力的な	adj	standard
applicable	適用可能な	adj	advanced
appointment	約束・任命	n	standard
appreciation	感謝・正しい理解	n	developed
arbitrary	恣意的な・任意の	adj	advanced
architecture	建築・構造	n	standard
artificially	人工的に	adv	advanced
assert	主張する	v	advanced
assurance	保証・確信	n	advanced
astonish	驚かせる	v	standard
astonishing	驚くべき	adj	standard
attain	達成する	v	advanced
attainment	達成・到達	n	advanced
attribute	属性・～のせいにする	n	advanced
auditing	監査	n	hard
authenticity	真正性・本物であること	n	hard
automate	自動化する	v	advanced
availability	利用可能性	n	advanced
awareness	認識・自覚	n	developed
background	背景・経歴	n	basic
barrel	樽・1樽分	n	standard
basically	基本的に	adv	standard
beneficial	有益な	adj	standard
bizarre	奇妙な	adj	advanced
boundary	境界	n	developed
breakdown	崩壊・故障・内訳	n	standard
breathless	息を切らした	adj	advanced
broaden	広げる	v	standard
capable	能力がある	adj	standard
certainty	確実性	n	standard
chaotic	混沌とした	adj	advanced
characterize	特徴づける	v	advanced
chronology	年代学・年代順	n	hard
civilian	民間人・民間の	n	developed
clarification	明確化	n	advanced
classify	分類する	v	standard
coarse	粗い	adj	advanced
coincidence	偶然の一致	n	standard
collaboration	協力・共同研究	n	developed
collective	集団の・集団	adj	developed
commission	委員会・依頼する	n	standard
commitment	責任・献身・約束	n	developed
commodity	商品・日用品	n	advanced
comparable	比較できる・同等の	adj	advanced
compel	強いる	v	advanced
